All Push-Up
[Archer Push-Up | (Bar)] [DIFF 6.1]
[Archer Push-Up] [DIFF 6.3]
[Archer Push-Up | (Parallettes)] [DIFF 6.3]
[Archer Push-Up | One Leg] [DIFF 6.3]
[Archer Push-Up | (Rings)] [DIFF 7.5]
[Archer Push-Up | (TRX)] [DIFF 7.7]
[Archer Push-Up | Negative] [DIFF 6.2]
[Archer Push-Up | Fingertip] [DIFF 7.8]
[Archer Push-Up | Deficit] [DIFF 6.9]
[Pike Push-Up | (Bar)] [DIFF 6.6]
[Pike Push-Up] [DIFF 6.2]
[Pike Push-Up | (Parallettes)] [DIFF 6.7]
[Pike Push-Up | (Rings)] [DIFF 7.8]
[Pike Push-Up | (TRX)] [DIFF 8.0]
[Pike Push-Up | Deficit] [DIFF 8.30]
[Pike Push-Up | Feet Elevated (Parallettes)] [DIFF 8.6]
[Pike Push-Up | One Arm] [DIFF 9.0]
[Pike Push-Up | Negative] [DIFF 7.8]
[Pike Push-Up | Pause] [DIFF 7.2]
[Pike Push-Up | Fingertip] [DIFF 7.8]
[Elevated Pike Push-Up | One Arm] [DIFF 7.8]
[One Arm Push-Up, Straddle] [DIFF 6.2]
[One Arm Push-Up] [DIFF 7.9]
[One Arm Push-Up | Strict] [DIFF 8.0]
[One Arm Push-Up | Strict, Negative] [DIFF 7.8]
[One Arm Push-Up | Strict, Pause] [DIFF 8.3]
[One Arm Push-Up | Negative] [DIFF 7.8]
[One Arm Push-Up | Pause] [DIFF 7.8]
[One Arm Push-Up | (Parallettes)] [DIFF 6.9]
[One Arm Push-Up | 4-Finger] [DIFF 8.0]
[One Arm Push-Up | Knuckle, Straddle] [DIFF 6.3]
[One Arm Push-Up | Deficit] [DIFF 8.3]
[Pseudo Planche Push-Up] [DIFF 5.5]
[Pseudo Planche Push-Up | Advanced] [DIFF 6.8]
[Pseudo Planche Push-Up | (Parallettes)] [DIFF 6.0]
[Pseudo Planche Push-Up | (Rings)] [DIFF 7.2]
[Pseudo Planche Push-Up | Negative] [DIFF 6.0]
[Pseudo Planche Push-Up | Pause] [DIFF 5.8]
[Pseudo Planche Push-Up | Explosive] [DIFF 7.5]
[One Arm Pseudo Planche Push-Up] [DIFF 9.0]
[Archer Push-Up | Explosive] [DIFF 7.2]
[Archer Push-Up | Clap] [DIFF 7.8]
[Archer Push-Up | Knuckle] [DIFF 6.5]
[Archer Push-Up | Pause] [DIFF 6.8]
[Pike Push-Up | Explosive] [DIFF 6.5]
[Pike Push-Up | Clap] [DIFF 7.2]
[Pike Push-Up | Knuckle] [DIFF 5.5]
[One Arm Pike Push-Up | (Parallettes)] [DIFF 8.5]
[One Arm Pike Push-Up | (Bar)] [DIFF 8.2]
[One Arm Pike Push-Up | (Rings)] [DIFF 9.0]
[Elevated Pike Push-Up] [DIFF 5.0]
[Elevated Pike Push-Up | (Parallettes)] [DIFF 5.5]
[Elevated Pike Push-Up | (Rings)] [DIFF 6.2]
[Elevated Pike Push-Up | Fingertip] [DIFF 5.8]
[Elevated Pike Push-Up | Negative] [DIFF 4.8]
[Elevated Pike Push-Up | Pause] [DIFF 5.3]
[Elevated Pike Push-Up | Deficit] [DIFF 5.7]
[Typewriter Push-Up | Negative] [DIFF 5.8]
[Typewriter Push-Up | Pause] [DIFF 6.2]
[One Arm Typewriter Push-Up] [DIFF 8.8]
[One Arm Push-Up | Explosive] [DIFF 9.2]
[Push-Up | Aztec] [DIFF 8.0]
[Push-Up | Hollow Body] [DIFF 4.8]
[Archer Push-Up | Wide] [DIFF 6.0]
[Clockwork Push-Up | One Arm] [DIFF 10.0]
[Decline Push-Up | Knee, Wide] [DIFF 3.4]
[Decline Push-Up | Knee, Straddle] [DIFF 1.6]
[Decline Push-Up | Knee, One Leg] [DIFF 2.3]
[Decline Push-Up | Knee, Knuckle] [DIFF 2.0]
[Decline Push-Up | Knee, Fist] [DIFF 2.2]
[Decline Push-Up | Knee, Archer] [DIFF 2.4]
[Decline Push-Up | Knee, 4-Finger] [DIFF 3.0]
[Decline Push-Up | Knee, Explosive] [DIFF 2.3]
[Decline Push-Up | Knee, Clap] [DIFF 2.6]
[Decline Push-Up | Knee, Negative] [DIFF 2.7]
[Decline Push-Up | Knee (Bar)] [DIFF 2.0]
[Decline Push-Up | Knee (Parallettes)] [DIFF 3.95]
[Decline Push-Up | Knee (TRX)] [DIFF 2.5]
[Decline Push-Up | Knee] [DIFF 3.5]
[Decline Push-Up | Knee, Narrow] [DIFF 3.8]
[Decline Push-Up | Knee, Diamond] [DIFF 4.0]
[Decline Push-Up | Knee, Staggered] [DIFF 3.7]
[Decline Push-Up | Knee, T] [DIFF 4.1]
[Decline Push-Up | Knee, Typewriter] [DIFF 4.5]
[Decline Push-Up | Knee, Fingertip] [DIFF 3.9]
[Decline Push-Up | Knee, 3-Finger] [DIFF 4.2]
[Decline Push-Up | Knee, 2-Finger] [DIFF 4.5]
[Decline Push-Up | Knee, Pause] [DIFF 3.7]
[Decline Push-Up | Knee, Deficit] [DIFF 3.9]
[Decline Push-Up | Knee (Rings)] [DIFF 4.4]
[Decline Push-Up] [DIFF 3.5]
[Decline Push-Up | One Leg] [DIFF 3.8]
[Decline Push-Up | Staggered] [DIFF 3.8]
